year,player,conference,athlete_id,position,passing_completions,passing_att,passing_pct,passing_yds,passing_td,passing_int,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,dual_threat,team,total_wins,qb_type,off_explosiveness,off_success_rate,off_pts_per_opp,passing_qbr,predicted_qbr,fpi,recruiting_points,avg_temp,avg_humidity,avg_wind,avg_pressure,pct_indoors
2014,Daxx Garman,Big 12,514105,QB,152,277,0.549,2041,12,12,7.4,60,-17,1,-0.3,18,Not Dual Threat,Oklahoma State,7,Other,1.228105504159621,0.4061784897025172,3.4177215189873418,40.1875,42.75283526383974,6.5,217.59,66.25833333333334,54.83333333333333,7.383333333333333,1019.1666666666666,0.08333333333333333
2014,Joel Stave,Big Ten,514230,QB,110,206,0.534,1350,9,10,6.6,13,-70,0,-5.4,12,Not Dual Threat,Wisconsin,11,Other,1.1978078021529954,0.4694610778443114,3.88,55.45555555555555,45.96299246738826,17.1,205.44,53.37692307692308,68.76923076923077,9.215384615384616,1016.0230769230769,0.15384615384615385
2014,Michael Brewer,ACC,514481,QB,262,441,0.594,2692,18,15,6.1,80,-5,2,-0.1,31,Not Dual Threat,Virginia Tech,7,Other,1.0651132236890248,0.399364406779661,3.0114942528735633,42.76,43.371296196111395,7.9,217.39,56.53333333333333,69.25,5.116666666666666,1020.1333333333333,0
2014,Reilly O'Toole,Big Ten,515454,QB,122,206,0.592,1344,10,8,6.5,95,263,1,2.8,28,Not Dual Threat,Illinois,6,Other,1.2326792481521875,0.40324594257178525,3.0987654320987654,48.67058823529412,41.6865709061012,-2.5,153.35,58.225,64.75,12.733333333333334,1017.4,0
2014,Brandon Allen,SEC,515915,QB,190,339,0.56,2285,20,5,6.7,42,0,2,0,21,Not Dual Threat,Arkansas,7,Other,1.222039897260191,0.4490566037735849,3.647727272727273,55.92857142857143,54.70457058932602,17.5,215.5,64.275,65.41666666666667,5.875,1019.2454545454545,0.08333333333333333
2014,Trevone Boykin,Big 12,517127,QB,301,492,0.612,3901,33,10,7.9,152,707,8,4.7,34,Dual Threat,TCU,12,Dual Threat,1.2221036845070723,0.47502903600464574,3.911504424778761,64.47272727272727,71.617953667541,26.1,188.64,66.925,52.166666666666664,8.9,1020.0083333333333,0
2014,Gary Nova,Big Ten,518344,QB,187,327,0.572,2851,22,12,8.7,45,-5,3,-0.1,20,Not Dual Threat,Rutgers,8,Other,1.1803839727312997,0.4470588235294118,3.6625,51.01578947368421,59.11868523007001,1.5,174.14,60.55833333333333,60,7.216666666666666,1017.0083333333333,0
2014,Jake Rudock,Big Ten,518380,QB,213,345,0.617,2436,16,5,7.1,67,176,3,2.6,21,Not Dual Threat,Iowa,7,Other,1.2157282518684664,0.4202733485193622,3.76,68.82631578947368,58.676999963253294,6.4,171.84,54.05833333333333,63.166666666666664,8.641666666666667,1020.7416666666667,0
2014,Will Gardner,ACC,530357,QB,127,221,0.575,1669,12,3,7.6,22,-106,0,-4.8,10,Not Dual Threat,Louisville,9,Other,1.3094729534928713,0.4006772009029345,4.090909090909091,54.84285714285714,51.535226911756155,11,183.64,66.34166666666667,63.333333333333336,9.708333333333334,1015.125,0.08333333333333333
2014,Mitch Leidner,Big Ten,530731,QB,122,237,0.515,1798,11,8,7.6,126,452,10,3.6,31,Not Dual Threat,Minnesota,8,Pure Runner,1.1412516317867616,0.4360248447204969,3.902439024390244,60.61,56.15329547319042,8.3,172.32,55.21666666666667,64.41666666666667,9.8,1017.625,0
2014,Patrick Towles,SEC,530944,QB,225,392,0.574,2718,14,9,6.9,146,305,6,2.1,48,Not Dual Threat,Kentucky,5,Other,1.2641312469580568,0.4017971758664955,2.944444444444444,45.61,42.53201642019376,3.3,225.4,64.71818181818182,53.63636363636363,10.145454545454546,1017.24,0
2014,Maty Mauk,SEC,531385,QB,221,414,0.534,2648,25,13,6.4,108,373,2,3.5,36,Not Dual Threat,Missouri,11,Other,1.2558028809015822,0.42027455121436114,3.404494382022472,50.34285714285714,50.30557758971508,13.7,198.53,64.6923076923077,57.38461538461539,5.346153846153846,1018.55,0
2014,Tommy Armstrong Jr.,Big Ten,533270,QB,184,345,0.533,2695,22,12,7.8,145,705,6,4.9,42,Dual Threat,Nebraska,9,Pure Runner,1.188500739423584,0.456242707117853,3.5981308411214954,55.304761904761904,59.75626500058223,13.2,200.24,56.86666666666667,55.166666666666664,7.391666666666667,1016.825,0
2014,Trevor Knight,Big 12,534449,QB,179,316,0.566,2300,14,12,7.3,68,339,5,5,31,Not Dual Threat,Oklahoma,8,Other,1.2111456747556313,0.4775561097256858,4.031914893617022,64.0125,59.50314906635023,18.9,248.94,62.59166666666667,62,10.583333333333332,1020.4666666666667,0
2014,Wes Lunt,Big Ten,534652,QB,153,241,0.635,1763,14,3,7.3,16,-80,0,-5,5,Not Dual Threat,Illinois,6,Other,1.2326792481521875,0.40324594257178525,3.0987654320987654,46.09,51.44082591202898,-2.5,153.35,58.225,64.75,12.733333333333334,1017.4,0
2014,Austin Appleby,Big Ten,534770,QB,144,272,0.529,1449,10,11,5.3,61,198,5,3.2,62,Not Dual Threat,Purdue,3,Other,1.1998611703656428,0.38666666666666666,2.9178082191780823,35.04375,37.73032313549133,-4,156.02,57.70833333333333,62.083333333333336,11.158333333333333,1018.7083333333334,0.08333333333333333
2014,Michael Cummings,Big 12,535521,QB,137,244,0.561,1715,9,6,7,67,23,4,0.3,18,Not Dual Threat,Kansas,3,Other,1.2247339609214318,0.3523035230352303,2.5970149253731343,36.75555555555555,40.32688106714702,-6.5,177.14,63,55.333333333333336,9.425,1016.9583333333334,0
2014,Anthony Jennings,SEC,546033,QB,111,227,0.489,1611,11,7,7.1,108,292,0,2.7,36,Not Dual Threat,LSU,8,Other,1.0496719140470123,0.4201030927835051,3.933333333333333,39.15238095238095,44.23896181564063,19,299.29,62.019999999999996,57.4,4.44,1018.78,0.2
2014,Tyrone Swoopes,Big 12,547338,QB,224,384,0.583,2409,13,11,6.3,108,262,4,2.4,28,Not Dual Threat,Texas,6,Other,1.0996820842501562,0.4146634615384616,3.7058823529411766,49.385,45.57515533766669,8.8,239.85,70.90833333333333,51.333333333333336,7.116666666666666,1018.2833333333333,0.08333333333333333
2014,Kenny Hill,SEC,549865,QB,214,321,0.667,2649,23,8,8.3,52,156,0,3,58,Not Dual Threat,Texas A&M,8,Other,1.2302045174429126,0.4776500638569604,3.9545454545454546,59.823076923076925,62.69214035837884,15,278.08,70.66666666666667,51.083333333333336,5.575,1018.75,0.08333333333333333
2014,Nick Marshall,SEC,550021,QB,178,293,0.608,2532,20,7,8.6,153,798,11,5.2,50,Dual Threat,Auburn,8,Pure Runner,1.1615059817235036,0.49443207126948774,4.264367816091954,72.86190476190477,69.81144571801174,21.9,277.12,68.44166666666666,54,4.833333333333333,1017.4090909090909,0
2014,Jake Waters,Big 12,550158,QB,262,397,0.66,3501,22,7,8.8,154,484,9,3.1,53,Dual Threat,Kansas State,9,Dual Threat,1.1584747779315352,0.4873417721518987,4.02020202020202,71.1,64.26145959431194,17.3,178.29,64.25833333333333,49.83333333333333,8.241666666666667,1017.5333333333333,0
2014,Davis Webb,Big 12,550386,QB,211,345,0.612,2539,24,13,7.4,17,16,1,0.9,18,Not Dual Threat,Texas Tech,4,Other,1.403908407165353,0.4410430839002268,3.107142857142857,55.378571428571426,56.31664462902966,2.1,191.82,68.65,48.083333333333336,11.833333333333334,1015.5416666666666,0.08333333333333333
2014,Christian Hackenberg,Big Ten,552329,QB,270,484,0.558,2977,12,15,6.2,93,-94,0,-1,17,Not Dual Threat,Penn State,7,Other,1.1024940937805678,0.38386041439476554,2.4819277108433737,29.963157894736842,36.94065681080725,4.6,221.35,55.418181818181814,65.9090909090909,8.554545454545455,1018.3090909090909,0
2014,Brad Kaaya,ACC,3123048,QB,221,378,0.585,3198,26,12,8.5,27,-131,1,-4.9,5,Not Dual Threat,Miami,6,Pocket Passer,1.340035396697449,0.4467265725288832,3.7317073170731705,57.004999999999995,59.0399700151673,10.8,256.08,71.88333333333334,62,9.766666666666666,1017.35,0
2014,John Wolford,ACC,3124092,QB,214,367,0.583,2037,12,14,5.6,104,-151,0,-1.5,9,Not Dual Threat,Wake Forest,3,Other,1.0881611420312665,0.319672131147541,2.350877192982456,27.873684210526314,24.643645749793283,-10.4,160.4,68.10833333333333,43.25,7.316666666666666,1017.3333333333334,0
2015,Sam B. Richardson,Big 12,511969,QB,128,213,0.601,1443,8,8,6.8,47,12,1,0.3,19,Not Dual Threat,Iowa State,3,Other,1.1380250554001294,0.433252427184466,3.324675324675325,34.95384615384616,42.14807660149321,0.6,166.5,59.7,63.083333333333336,9.15,1020.35,0
2015,Jacoby Brissett,ACC,512191,QB,237,395,0.6,2662,20,6,6.7,139,370,6,2.7,31,Dual Threat,NC State,7,Other,1.3185319868156995,0.4262295081967213,4.056818181818182,56.47777777777778,52.55823752722882,8.8,208.69,67.275,63.83333333333333,6.833333333333333,1017.4166666666667,0
