"","game_id","school","conference","home_away","opponent","opponent_conference","points","total_yards","net_passing_yards","completion_attempts","passing_tds","yards_per_pass","passes_intercepted","interception_yards","interception_tds","rushing_attempts","rushing_yards","rush_tds","yards_per_rush_attempt","first_downs","third_down_eff","fourth_down_eff","punt_returns","punt_return_yards","punt_return_tds","kick_return_yards","kick_return_tds","kick_returns","kicking_points","fumbles_recovered","fumbles_lost","total_fumbles","tackles","tackles_for_loss","sacks","qb_hurries","interceptions","passes_deflected","turnovers","defensive_tds","total_penalties_yards","possession_time","points_allowed","total_yards_allowed","net_passing_yards_allowed","completion_attempts_allowed","passing_tds_allowed","yards_per_pass_allowed","passes_intercepted_allowed","interception_yards_allowed","interception_tds_allowed","rushing_attempts_allowed","rushing_yards_allowed","rush_tds_allowed","yards_per_rush_attempt_allowed","first_downs_allowed","third_down_eff_allowed","fourth_down_eff_allowed","punt_returns_allowed","punt_return_yards_allowed","punt_return_tds_allowed","kick_return_yards_allowed","kick_return_tds_allowed","kick_returns_allowed","kicking_points_allowed","fumbles_recovered_allowed","fumbles_lost_allowed","total_fumbles_allowed","tackles_allowed","tackles_for_loss_allowed","sacks_allowed","qb_hurries_allowed","interceptions_allowed","passes_deflected_allowed","turnovers_allowed","defensive_tds_allowed","total_penalties_yards_allowed","possession_time_allowed","season","champion"
"418",401752737,"Texas A&M","SEC","home","Florida","SEC",34,"417","234","16-26","1","9.0",NA,NA,NA,"42","183","3","4.4","19","9-17","0-0","1","0","0",NA,NA,NA,"10","2","0","0","29","6","3","4","1","5","1","0","3-30","33:42",17,"319","245","21-37","2","6.6","1","0","0","24","74","0","3.1","15","1-10","0-1","1","8","0","26","0","1","5","0","2","3","37","0","0","1","0","2","2","0","6-54","26:18",2025,FALSE
"419",401752739,"Texas A&M","SEC","away","Arkansas","SEC",45,"497","280","23-32","3","8.8",NA,NA,NA,"35","217","3","6.2","29","5-11","3-3",NA,NA,NA,"13","0","1","9",NA,"0",NA,"34","8","4","6","0","2","0","0","7-67","33:48",42,"527","259","20-33","3","7.8",NA,NA,NA,"32","268","2","8.4","25","4-10","1-2","2","14","0","22","0","1","10",NA,"0",NA,"35","2","0","0","0","3","0","0","9-71","26:12",2025,FALSE
"420",401752730,"Texas A&M","SEC","home","Mississippi State","SEC",31,"483","180","13-23","2","7.8","1","10","0","51","303","2","5.9","23","7-15","0-1","3","35","0","13","0","1","7","1","0","0","29","9","4","1","1","2","1","0","9-66","38:17",9,"219","142","15-20","1","7.1","1","8","0","31","77","0","2.5","14","1-10","0-0",NA,NA,NA,"18","0","1","3","0","1","2","38","2","1","0","1","1","2","0","3-35","21:43",2025,FALSE
"421",401752678,"Texas A&M","SEC","home","UTSA","American Athletic",42,"399","291","23-36","4","8.1",NA,NA,NA,"23","108","1","4.7","17","3-11","1-1","5","142","1","67","0","2","6",NA,"0",NA,"35","9","1","2","0","3","0","1","7-50","26:19",24,"373","170","21-34","1","5.0",NA,NA,NA,"33","203","2","6.2","17","5-16","1-1","1","2","0","20","0","1","6","0","0","2","31","2","0","2","0","2","0","0","4-34","33:41",2025,FALSE
"422",401752724,"Texas A&M","SEC","home","Auburn","SEC",16,"414","207","15-22","0","9.4",NA,NA,NA,"47","207","1","4.4","21","3-14","0-0","3","30","0","18","0","1","10","0","0","2","35","6","5","4","1","3","1","0","13-119","34:06",10,"177","125","18-33","0","3.8","1","73","0","24","52","1","2.2","9","0-13","0-2","1","6","0",NA,NA,NA,"4",NA,"0",NA,"37","6","4","1","0","0","0","0","10-69","25:54",2025,FALSE
"423",401752694,"Texas A&M","SEC","home","Utah State","Mountain West",44,"554","319","22-34","4","9.4",NA,NA,NA,"45","235","2","5.2","30","5-13","1-3","2","18","0","94","0","3","8","1","0","0","36","9","6","6","1","3","1","0","5-54","34:14",22,"250","172","16-31","3","5.5","1","10","0","35","78","0","2.2","18","2-14","1-1",NA,NA,NA,"13","0","1",NA,"0","1","2","42","5","2","3","0","2","1","0","11-72","25:46",2025,FALSE
"424",401752792,"Texas A&M","SEC","away","Texas","SEC",17,"337","180","20-32","0","5.6",NA,NA,NA,"34","157","2","4.6","19","4-14","1-1","4","62","0","55","0","3","5",NA,"0",NA,"35","10","2","5","2","5","2","0","8-62","32:15",27,"397","179","14-31","1","5.8","2","0","0","35","218","2","6.2","19","4-13","0-0","2","28","0","36","0","3","9",NA,"0",NA,"39","2","1","5","0","2","0","0","7-78","27:45",2025,FALSE
"425",401752763,"Texas A&M","SEC","away","Missouri","SEC",38,"464","221","20-29","2","7.6",NA,NA,NA,"39","243","3","6.2","21","7-14","1-2","1","5","0","37","0","2","8","2","1","1","24","7","2","2","0","3","1","0","8-65","35:44",17,"284","77","7-22","0","3.5",NA,NA,NA,"34","207","2","6.1","17","5-13","0-1","1","7","0","80","0","4","5","1","2","3","36","5","1","4","0","4","2","0","4-38","24:16",2025,FALSE
"426",401752781,"Texas A&M","SEC","home","Samford","Southern",48,"475","228","20-37","3","6.2",NA,NA,NA,"43","247","3","5.7","22","7-15","2-2","8","58","0","3","0","2","12","0","1","2","28","11","1","4","1","2","2","0","5-50","33:04",0,"77","46","7-17","0","2.7","1","0","0","31","31","0","1.0","3","0-15","0-0",NA,NA,NA,"48","0","3","0","1","0","0","41","2","1","6","0","3","0","0","3-32","26:56",2025,FALSE
"427",401752748,"Texas A&M","SEC","away","LSU","SEC",49,"426","202","12-21","2","9.6",NA,NA,NA,"40","224","4","5.6","24","7-10","0-0","4","137","1","68","0","2","7","0","0","2","42","11","7","0","2","5","2","1","6-65","30:12",25,"278","218","25-39","2","5.6","2","28","0","27","60","1","2.2","18","2-13","1-2","1","16","0","69","0","4","5",NA,"0",NA,"27","2","0","2","0","5","0","0","4-27","29:48",2025,FALSE
